CNPJ_CIA,DT_REFER,ORIGEM,Target,Horizonte,Algoritmo,y_pred
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_BPP_2.01_ITR_T3,_ITR_T3,GradientBoosting,3233752.6908993516
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_BPP_2.01_ITR_T3,_ITR_T3,GradientBoosting,3391007.7815927356
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_BPP_2.01_DFP,_DFP,GradientBoosting,4518816.440346128
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_BPP_2.01_DFP,_DFP,GradientBoosting,15377655.976809178
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_BPP_2.01_DFP,_DFP,GradientBoosting,2671390.367956165
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_BPP_2.01_DFP,_DFP,GradientBoosting,3034739.8126791
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_BPP_2.03_ITR_T1,_ITR_T1,GradientBoosting,47412734.65814551
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_BPP_2.03_ITR_T1,_ITR_T1,GradientBoosting,159755355.83958918
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_BPP_2.03_ITR_T1,_ITR_T1,GradientBoosting,37982110.485983424
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_BPP_2.03_ITR_T1,_ITR_T1,GradientBoosting,16639102.202545833
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_BPP_2.03_ITR_T2,_ITR_T2,GradientBoosting,5863246.159132426
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_BPP_2.03_ITR_T2,_ITR_T2,GradientBoosting,7575417.0679738745
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_BPP_2.03_ITR_T2,_ITR_T2,GradientBoosting,5433584.700568202
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_BPP_2.03_ITR_T2,_ITR_T2,GradientBoosting,5958721.275843571
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_BPP_2.03_ITR_T3,_ITR_T3,GradientBoosting,5992336.341441423
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_BPP_2.03_ITR_T3,_ITR_T3,GradientBoosting,7389466.193086563
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_BPP_2.03_ITR_T3,_ITR_T3,GradientBoosting,4787074.373906826
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_BPP_2.03_ITR_T3,_ITR_T3,GradientBoosting,5193245.046120537
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_BPP_2.03_DFP,_DFP,GradientBoosting,7268043.254302471
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_BPP_2.03_DFP,_DFP,GradientBoosting,8356534.078300377
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_BPP_2.03_DFP,_DFP,GradientBoosting,5647416.66033597
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_BPP_2.03_DFP,_DFP,GradientBoosting,6949421.804785256
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_BPP_2_ITR_T1,_ITR_T1,RandomForest,131442564.44685227
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_BPP_2_ITR_T1,_ITR_T1,RandomForest,365114801.45682734
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_BPP_2_ITR_T1,_ITR_T1,RandomForest,75377253.51625155
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_BPP_2_ITR_T1,_ITR_T1,RandomForest,45146166.45263551
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_BPP_2_ITR_T2,_ITR_T2,GradientBoosting,21703285.29990522
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_BPP_2_ITR_T2,_ITR_T2,GradientBoosting,80603324.43795468
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_BPP_2_ITR_T2,_ITR_T2,GradientBoosting,12179707.49871656
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_BPP_2_ITR_T2,_ITR_T2,GradientBoosting,10447182.996849624
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_BPP_2_ITR_T3,_ITR_T3,GradientBoosting,21296879.256449282
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_BPP_2_ITR_T3,_ITR_T3,GradientBoosting,65968758.81790616
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_BPP_2_ITR_T3,_ITR_T3,GradientBoosting,17819082.915555667
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_BPP_2_ITR_T3,_ITR_T3,GradientBoosting,15346680.848160537
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_BPP_2_DFP,_DFP,GradientBoosting,23075128.3052326
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_BPP_2_DFP,_DFP,GradientBoosting,82934883.32746133
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_BPP_2_DFP,_DFP,GradientBoosting,18568565.739423282
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_BPP_2_DFP,_DFP,GradientBoosting,14370937.52734048
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_DFC_MI_6.01_ITR_T1,_ITR_T1,GradientBoosting,6998223.025896708
