CNPJ_CIA,NOME_CIA,ANO,SETOR,ORIGEM,DT_REFER,X1_CG_AT,X2_PL_AT,X3_EBIT_AT,X4_PL_PT,altman_z_pp,zona_altman,comp_ok
02.429.144/0001-93,CPFL Energia,2024,Energia,DFP,2024-12-31 03:00:00,-0.010618378820346547,1.0,0.42836775657217424,1.9693114594238958,8.136751791498629,Segura,4
02.429.144/0001-93,CPFL Energia,2025,Energia,ITR,2025-03-31 03:00:00,-0.0031640560830281084,1.0,0.11423691454665134,1.922775773675006,6.025830420207589,Segura,4
02.429.144/0001-93,CPFL Energia,2025,Energia,ITR,2025-06-30 03:00:00,-0.028608182110051915,1.0,0.20503152644480743,1.9416202303483159,6.488843424932896,Segura,4
02.429.144/0001-93,CPFL Energia,2025,Energia,ITR,2025-09-30 03:00:00,0.0012333691380595855,1.0,0.29701048951409426,1.958049003147792,7.319952844385565,Segura,4
02.474.103/0001-19,Engie Brasil,2015,Energia,ITR,2015-03-31 03:00:00,0.11374551275144187,1.0,0.1479819255329405,1.7801562594841769,6.869773175689204,Segura,4
02.474.103/0001-19,Engie Brasil,2015,Energia,ITR,2015-06-30 03:00:00,0.11130569878784399,1.0,0.24720483877503469,1.7731168820962955,7.5131546268176,Segura,4
02.474.103/0001-19,Engie Brasil,2015,Energia,ITR,2015-09-30 03:00:00,0.1260061931318435,1.0,0.3729860499173731,1.8238349567169507,8.50809358694244,Segura,4
02.474.103/0001-19,Engie Brasil,2015,Energia,DFP,2015-12-31 02:00:00,0.09505732198838573,1.0,0.5166666067564479,1.5887229513643726,9.023734728579731,Segura,4
02.474.103/0001-19,Engie Brasil,2016,Energia,ITR,2016-03-31 03:00:00,0.11012009192038705,1.0,0.13524202555191242,1.6022972155787476,6.573626291064275,Segura,4
02.474.103/0001-19,Engie Brasil,2016,Energia,ITR,2016-06-30 03:00:00,0.10569440769085356,1.0,0.26950338754887426,1.6247929189022012,7.470450643627745,Segura,4
02.474.103/0001-19,Engie Brasil,2016,Energia,ITR,2016-09-30 03:00:00,0.10715855686959548,1.0,0.3825204619771823,1.6540735925679997,8.27027490974761,Segura,4
02.474.103/0001-19,Engie Brasil,2016,Energia,DFP,2016-12-31 02:00:00,0.10778989646865526,1.0,0.5548892379177889,1.713531652531114,9.495165634799589,Segura,4
02.474.103/0001-19,Engie Brasil,2017,Energia,ITR,2017-03-31 03:00:00,0.13141047438554915,1.0,0.1497549031206341,1.7299090624166755,6.944810176477372,Segura,4
02.474.103/0001-19,Engie Brasil,2017,Energia,ITR,2017-06-30 03:00:00,0.09593217943101992,1.0,0.29320938337640534,1.694881668818226,7.6393079056160715,Segura,4
02.474.103/0001-19,Engie Brasil,2017,Energia,ITR,2017-09-30 03:00:00,0.03820737116218624,1.0,0.39812769329979375,1.68056240513161,7.950648979186745,Segura,4
02.474.103/0001-19,Engie Brasil,2017,Energia,DFP,2017-12-31 02:00:00,-0.09917421931855527,1.0,0.44418780824071813,1.5640801247138962,7.236643323597494,Segura,4
02.474.103/0001-19,Engie Brasil,2018,Energia,ITR,2018-03-31 03:00:00,-0.08529519352943249,1.0,0.13501948108150696,1.6253220654865703,5.314382612075549,Segura,4
02.474.103/0001-19,Engie Brasil,2018,Energia,ITR,2018-06-30 03:00:00,0.05111029311730387,1.0,0.27559026558367183,2.1554345136728337,7.710456346928264,Segura,4
02.474.103/0001-19,Engie Brasil,2018,Energia,ITR,2018-09-30 03:00:00,0.0511519304039189,1.0,0.3537897874344397,2.309821966246159,8.398337099567609,Segura,4
02.474.103/0001-19,Engie Brasil,2018,Energia,DFP,2018-12-31 02:00:00,0.01628005592456377,1.0,0.4497812731917468,2.2625022900935083,8.76495472731186,Segura,4
02.474.103/0001-19,Engie Brasil,2019,Energia,ITR,2019-03-31 03:00:00,0.02193974223935166,1.0,0.12796359516963243,2.3749049796637727,6.757490297277038,Segura,4
02.474.103/0001-19,Engie Brasil,2019,Energia,ITR,2019-06-30 03:00:00,0.009063506881811395,1.0,0.20371084951611654,2.5153727635201237,7.329534915589115,Segura,4
02.474.103/0001-19,Engie Brasil,2019,Energia,ITR,2019-09-30 03:00:00,0.042005078638843944,1.0,0.33650247927581856,2.5662895165864157,8.491453969020053,Segura,4
02.474.103/0001-19,Engie Brasil,2019,Energia,DFP,2019-12-31 03:00:00,0.02541935648289208,1.0,0.41764997505606166,2.3219679925143684,8.671425203044592,Segura,4
02.474.103/0001-19,Engie Brasil,2020,Energia,ITR,2020-03-31 03:00:00,0.04585922863380141,1.0,0.10329750778984864,2.4894538807375253,6.8689223669599215,Segura,4
02.474.103/0001-19,Engie Brasil,2020,Energia,ITR,2020-06-30 03:00:00,0.08039736151743686,1.0,0.21024206601449677,2.484965197842594,7.809446832906527,Segura,4
02.474.103/0001-19,Engie Brasil,2020,Energia,ITR,2020-09-30 03:00:00,0.09462061069221588,1.0,0.2979257534140005,2.6400081600311665,8.654780837115744,Segura,4
02.474.103/0001-19,Engie Brasil,2020,Energia,DFP,2020-12-31 03:00:00,0.06685484056157394,1.0,0.45950921081440677,2.6812810925369988,9.601814797920586,Segura,4
02.474.103/0001-19,Engie Brasil,2021,Energia,ITR,2021-03-31 03:00:00,0.08969455336276906,1.0,0.11837765007665758,2.9555323875307487,7.747203085482191,Segura,4
02.474.103/0001-19,Engie Brasil,2021,Energia,ITR,2021-06-30 03:00:00,0.07956265448508927,1.0,0.2089219424016645,2.7256104858416426,8.047777476495096,Segura,4
02.474.103/0001-19,Engie Brasil,2021,Energia,ITR,2021-09-30 03:00:00,0.06951925793643784,1.0,0.3131489313956595,2.8177112623537557,8.779003976513309,Segura,4
02.474.103/0001-19,Engie Brasil,2021,Energia,DFP,2021-12-31 03:00:00,0.07195914547079978,1.0,0.43978990823341285,2.780595525627973,9.607065479526353,Segura,4
02.474.103/0001-19,Engie Brasil,2022,Energia,ITR,2022-03-31 03:00:00,0.056974720253510504,1.0,0.1257467249708775,2.798004321224847,7.416676693953415,Segura,4
02.474.103/0001-19,Engie Brasil,2022,Energia,ITR,2022-06-30 03:00:00,0.05614025179670196,1.0,0.23834625387168626,2.93455786397834,8.311252634981354,Segura,4
02.474.103/0001-19,Engie Brasil,2022,Energia,ITR,2022-09-30 03:00:00,0.04868081150174267,1.0,0.3288859877757976,2.5593275221225524,8.47675385953347,Segura,4
02.474.103/0001-19,Engie Brasil,2022,Energia,DFP,2022-12-31 03:00:00,0.03897448518271467,1.0,0.4677800274817821,2.664739015146202,9.457130373379696,Segura,4
02.474.103/0001-19,Engie Brasil,2023,Energia,ITR,2023-03-31 03:00:00,0.0329723113825372,1.0,0.13131291577900867,2.477899927706901,6.960516080796628,Segura,4
02.474.103/0001-19,Engie Brasil,2023,Energia,ITR,2023-06-30 03:00:00,0.04222056489534973,1.0,0.29354950711276534,2.6117067597298216,8.25191169122759,Segura,4
02.474.103/0001-19,Engie Brasil,2023,Energia,ITR,2023-09-30 03:00:00,0.013121804659144901,1.0,0.4099938889369885,2.59199498356672,8.82283270496561,Segura,4
02.474.103/0001-19,Engie Brasil,2023,Energia,DFP,2023-12-31 03:00:00,0.06630718635612101,1.0,0.4920102567058682,2.650646850650115,9.784463260742207,Segura,4
02.474.103/0001-19,Engie Brasil,2024,Energia,ITR,2024-03-31 03:00:00,0.06394025546817982,1.0,0.17960567228382116,2.601555876081381,7.6180318635039885,Segura,4
02.474.103/0001-19,Engie Brasil,2024,Energia,ITR,2024-06-30 03:00:00,0.026493404670833068,1.0,0.283938936953933,2.5148668404921017,7.982476573487801,Segura,4
02.474.103/0001-19,Engie Brasil,2024,Energia,ITR,2024-09-30 03:00:00,0.003182551957735773,1.0,0.35898524575435264,2.5452917412984233,8.365814720675342,Segura,4
02.474.103/0001-19,Engie Brasil,2024,Energia,DFP,2024-12-31 03:00:00,-0.0014893748343345879,1.0,0.4475636820189119,2.5628401961722918,8.948839850234759,Segura,4
02.474.103/0001-19,Engie Brasil,2025,Energia,ITR,2025-03-31 03:00:00,0.03595667355764947,1.0,0.10094457252988893,2.629890112913683,6.935607924498401,Segura,4
02.474.103/0001-19,Engie Brasil,2025,Energia,ITR,2025-06-30 03:00:00,0.04885372261349706,1.0,0.18795194119528444,2.7151421367828616,7.694416708798856,Segura,4
02.474.103/0001-19,Engie Brasil,2025,Energia,ITR,2025-09-30 03:00:00,0.010905750894098398,1.0,0.2624584315693206,2.684430537862554,7.913914450766802,Segura,4
02.998.611/0001-04,ISA CTEEP,2015,Energia,ITR,2015-03-31 03:00:00,0.13603908357252648,1.0,0.04557014808576623,1.2489764804364984,5.770073087830445,Segura,4
02.998.611/0001-04,ISA CTEEP,2015,Energia,ITR,2015-06-30 03:00:00,0.12018060952532363,1.0,0.09335531004762478,1.2640149392088977,6.002948168175504,Segura,4
02.998.611/0001-04,ISA CTEEP,2015,Energia,ITR,2015-09-30 03:00:00,0.10470274743493675,1.0,0.20919007257245548,1.2507248349336118,6.665868387540377,Segura,4
02.998.611/0001-04,ISA CTEEP,2015,Energia,DFP,2015-12-31 02:00:00,0.0649317733664927,1.0,0.2538819597958931,1.2360312208622353,6.689871985017941,Segura,4
02.998.611/0001-04,ISA CTEEP,2016,Energia,ITR,2016-03-31 03:00:00,0.05350585996856738,1.0,0.0511280900778869,1.2338592955839995,5.250131467080402,Segura,4
02.998.611/0001-04,ISA CTEEP,2016,Energia,ITR,2016-06-30 03:00:00,0.055773489081022934,1.0,0.10765655091885955,1.2285459528319145,5.639299361019757,Segura,4
02.998.611/0001-04,ISA CTEEP,2016,Energia,ITR,2016-09-30 03:00:00,0.06399818417463156,1.0,1.294624701220912,1.4026717407450462,13.85251140817241,Segura,4
02.998.611/0001-04,ISA CTEEP,2016,Energia,DFP,2016-12-31 02:00:00,0.0718373313756774,1.0,1.3466897787674905,1.382915925277928,14.233069928683804,Segura,4
