CNPJ_CIA,DT_REFER,ANO,Target,Variavel,Horizonte,Algoritmo,SchemaHash,SchemaLen,ModoEscala,y_true,y_pred,lb_90,ub_90,width_90,coberto,q_hat,alpha
16.590.234/0001-76,2025-12-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,2479523.0,14.498229943751651,-100142098.7176649,100142127.7141248,200284226.4317897,True,100142113.21589485,0.1
24.990.777/0001-09,2025-03-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,17110941.0,16.579491090720275,-100142096.63640375,100142129.79538594,200284226.4317897,True,100142113.21589485,0.1
24.990.777/0001-09,2025-06-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,27874479.0,17.203328673790583,-100142096.01256618,100142130.41922352,200284226.4317897,True,100142113.21589485,0.1
24.990.777/0001-09,2025-09-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,9402270.0,16.024153241787285,-100142097.1917416,100142129.2400481,200284226.4317897,True,100142113.21589485,0.1
24.990.777/0001-09,2025-12-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,9402270.0,15.918737955312116,-100142097.2971569,100142129.1346328,200284226.4317897,True,100142113.21589485,0.1
33.000.167/0001-01,2025-03-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,242272000.0,19.194479863726748,-100142094.02141498,100142132.41037472,200284226.4317897,False,100142113.21589485,0.1
33.000.167/0001-01,2025-06-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,370178000.0,19.575559435110904,-100142093.64033541,100142132.79145429,200284226.4317897,False,100142113.21589485,0.1
33.000.167/0001-01,2025-09-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,123686000.0,18.466062207277535,-100142094.74983265,100142131.68195705,200284226.4317897,False,100142113.21589485,0.1
33.000.167/0001-01,2025-12-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,123686000.0,17.582838268861742,-100142095.63305658,100142130.79873312,200284226.4317897,False,100142113.21589485,0.1
33.042.730/0001-04,2025-03-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,21600915.0,16.89504042388696,-100142096.32085443,100142130.11093527,200284226.4317897,True,100142113.21589485,0.1
33.042.730/0001-04,2025-06-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,33394783.0,17.27012074399814,-100142095.94577411,100142130.48601559,200284226.4317897,True,100142113.21589485,0.1
33.042.730/0001-04,2025-09-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,10603772.0,16.201588581420708,-100142097.01430626,100142129.41748343,200284226.4317897,True,100142113.21589485,0.1
33.042.730/0001-04,2025-12-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,10603772.0,15.87111713599763,-100142097.34477772,100142129.08701198,200284226.4317897,True,100142113.21589485,0.1
33.256.439/0001-39,2025-03-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,67384305.0,17.98313523091789,-100142095.23275961,100142131.19903009,200284226.4317897,True,100142113.21589485,0.1
33.256.439/0001-39,2025-06-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,104418160.0,18.383990427463992,-100142094.83190443,100142131.59988527,200284226.4317897,False,100142113.21589485,0.1
33.256.439/0001-39,2025-09-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,36751570.0,17.276125285630346,-100142095.93976957,100142130.49202013,200284226.4317897,True,100142113.21589485,0.1
33.256.439/0001-39,2025-12-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,36751570.0,17.217965258567983,-100142095.99792959,100142130.43386011,200284226.4317897,True,100142113.21589485,0.1
33.453.598/0001-23,2025-03-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,54217561.0,17.57680777752981,-100142095.63908707,100142130.79270263,200284226.4317897,True,100142113.21589485,0.1
33.453.598/0001-23,2025-06-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,114128177.0,18.40202657100145,-100142094.81386828,100142131.61792141,200284226.4317897,False,100142113.21589485,0.1
33.453.598/0001-23,2025-09-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,174519900.0,18.148836616047557,-100142095.06705824,100142131.36473146,200284226.4317897,False,100142113.21589485,0.1
33.592.510/0001-54,2025-03-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,97218000.0,18.425739686256005,-100142094.79015516,100142131.64163454,200284226.4317897,True,100142113.21589485,0.1
33.592.510/0001-54,2025-06-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,153919000.0,18.758290694691652,-100142094.45760415,100142131.97418554,200284226.4317897,False,100142113.21589485,0.1
33.592.510/0001-54,2025-09-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,48680000.0,17.676581766562588,-100142095.53931308,100142130.89247662,200284226.4317897,True,100142113.21589485,0.1
33.592.510/0001-54,2025-12-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,48680000.0,17.032450436834033,-100142096.18344441,100142130.24834529,200284226.4317897,True,100142113.21589485,0.1
33.611.500/0001-19,2025-03-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,34901086.0,17.398133943595067,-100142095.8177609,100142130.6140288,200284226.4317897,True,100142113.21589485,0.1
33.611.500/0001-19,2025-06-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,52884229.0,17.706752130777776,-100142095.50914271,100142130.92264698,200284226.4317897,True,100142113.21589485,0.1
33.611.500/0001-19,2025-09-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,16715661.0,16.780406250241317,-100142096.4354886,100142129.9963011,200284226.4317897,True,100142113.21589485,0.1
33.611.500/0001-19,2025-12-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,16715661.0,16.464197159668966,-100142096.75169769,100142129.680092,200284226.4317897,True,100142113.21589485,0.1
34.274.233/0001-02,2025-03-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,90404000.0,18.287214717775903,-100142094.92868014,100142131.50310956,200284226.4317897,True,100142113.21589485,0.1
34.274.233/0001-02,2025-06-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,138749000.0,18.529496758833464,-100142094.68639809,100142131.7453916,200284226.4317897,False,100142113.21589485,0.1
34.274.233/0001-02,2025-09-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,48004000.0,17.373160242523614,-100142095.8427346,100142130.58905509,200284226.4317897,True,100142113.21589485,0.1
34.274.233/0001-02,2025-12-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,48004000.0,17.249617898293096,-100142095.96627694,100142130.46551275,200284226.4317897,True,100142113.21589485,0.1
47.960.950/0001-21,2025-03-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,18523651.0,16.711815483510392,-100142096.50407937,100142129.92771032,200284226.4317897,True,100142113.21589485,0.1
47.960.950/0001-21,2025-06-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,27550302.0,17.20745604847974,-100142096.0084388,100142130.4233509,200284226.4317897,True,100142113.21589485,0.1
47.960.950/0001-21,2025-09-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,9205731.0,16.04264112226003,-100142097.17325373,100142129.25853597,200284226.4317897,True,100142113.21589485,0.1
47.960.950/0001-21,2025-12-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,9205731.0,15.921277642996806,-100142097.2946172,100142129.13717249,200284226.4317897,True,100142113.21589485,0.1
53.113.791/0001-22,2025-03-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,2949971.0,14.89887654828752,-100142098.3170183,100142128.1147714,200284226.4317897,True,100142113.21589485,0.1
53.113.791/0001-22,2025-06-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,4512398.0,15.189731440367991,-100142098.02616341,100142128.40562628,200284226.4317897,True,100142113.21589485,0.1
53.113.791/0001-22,2025-09-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,1697046.0,14.271219702939975,-100142098.94467515,100142127.48711455,200284226.4317897,True,100142113.21589485,0.1
53.113.791/0001-22,2025-12-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,1697046.0,14.405907265721828,-100142098.80998759,100142127.6218021,200284226.4317897,True,100142113.21589485,0.1
