SETOR,Target,N_obs_raw,N_obs_validas,Modo,Score_alinhamento,Ratio_mediano
Tecnologia,TARGET_BPP_2_ITR_T1,34,34,raw_raw,38.0,1.2113245207381
Tecnologia,TARGET_BPP_2_ITR_T2,25,25,raw_raw,29.0,1.0873998453186415
Tecnologia,TARGET_BPP_2_ITR_T3,20,20,raw_raw,24.0,1.0552612961411363
Tecnologia,TARGET_DFC_MI_6.01_DFP,28,28,raw_raw,32.0,0.39173796278803336
Tecnologia,TARGET_DFC_MI_6.01_ITR_T1,34,34,raw_raw,38.0,0.5045014667300429
Tecnologia,TARGET_DFC_MI_6.01_ITR_T2,25,25,raw_raw,29.0,0.8287876287740942
Tecnologia,TARGET_DFC_MI_6.01_ITR_T3,20,20,raw_raw,24.0,0.38007818119623626
Tecnologia,TARGET_DRE_3.01_DFP,28,28,raw_raw,32.0,0.9078044553644551
Tecnologia,TARGET_DRE_3.01_ITR_T1,34,34,raw_raw,38.0,0.8699141852395667
Tecnologia,TARGET_DRE_3.01_ITR_T2,25,25,raw_raw,29.0,0.8974156886773063
Tecnologia,TARGET_DRE_3.01_ITR_T3,20,20,raw_raw,24.0,0.9896442385024457
Tecnologia,TARGET_DRE_3.11_DFP,28,28,raw_raw,32.0,0.8650429184280817
Tecnologia,TARGET_DRE_3.11_ITR_T1,34,34,raw_raw,38.0,0.5119012047781584
Tecnologia,TARGET_DRE_3.11_ITR_T2,25,25,raw_raw,29.0,0.8259566251621224
Tecnologia,TARGET_DRE_3.11_ITR_T3,20,20,raw_raw,24.0,0.8461934112602137
Tecnologia,TARGET_EBITDA_DFP,28,28,raw_raw,32.0,1.1208141322156695
Tecnologia,TARGET_EBITDA_ITR_T1,34,34,raw_raw,38.0,0.9438361129908153
Tecnologia,TARGET_EBITDA_ITR_T2,25,25,raw_raw,29.0,0.9099931860745996
Tecnologia,TARGET_EBITDA_ITR_T3,20,20,raw_raw,24.0,0.8498874062729449
Varejo,TARGET_BPA_1.01_DFP,35,35,raw_raw,39.0,0.9319539308803907
Varejo,TARGET_BPA_1.01_ITR_T1,40,40,raw_raw,44.0,0.9034007207219077
Varejo,TARGET_BPA_1.01_ITR_T2,30,30,raw_raw,34.0,0.9624330797349449
