cnpj,empresa,setor,ano_base,target,variavel,algoritmo,y_pred_2026_bi
33.592.510/0001-54,Vale,Commodities,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,30.8178
33.592.510/0001-54,Vale,Commodities,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,4.3902
33.592.510/0001-54,Vale,Commodities,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,7.0027
33.592.510/0001-54,Vale,Commodities,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,22.8357
33.592.510/0001-54,Vale,Commodities,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,76.9428
33.592.510/0001-54,Vale,Commodities,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,12.7156
33.592.510/0001-54,Vale,Commodities,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,20.5754
02.429.144/0001-93,CPFL Energia,Energia,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,9.7187
02.429.144/0001-93,CPFL Energia,Energia,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,23.4884
02.429.144/0001-93,CPFL Energia,Energia,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,23.9989
02.429.144/0001-93,CPFL Energia,Energia,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,2.0059
02.429.144/0001-93,CPFL Energia,Energia,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,2.9446
02.429.144/0001-93,CPFL Energia,Energia,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,5.0088
02.429.144/0001-93,CPFL Energia,Energia,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,23.4884
02.429.144/0001-93,CPFL Energia,Energia,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,8.2329
02.429.144/0001-93,CPFL Energia,Energia,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,12.3423
02.474.103/0001-19,Engie Brasil,Energia,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,8.1675
02.474.103/0001-19,Engie Brasil,Energia,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,19.8573
02.474.103/0001-19,Engie Brasil,Energia,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,16.9069
